,tavg,wspd,pres
1/1/2016,9.3,7.5,
1/2/2016,6.7,15.6,
1/3/2016,2.4,20,
1/4/2016,3.1,17.1,
1/5/2016,6.9,9.8,1019.3
1/6/2016,8,31.9,
1/7/2016,9.2,9.2,
1/8/2016,8.8,4.5,
1/9/2016,7.6,10.3,
1/10/2016,5.7,22.1,
1/11/2016,5.2,,
1/12/2016,5.8,5.7,
1/13/2016,7.2,4.7,
1/14/2016,8.9,4.2,
1/15/2016,9.1,5.4,
1/16/2016,8.6,10.8,
1/17/2016,7.5,4.7,
1/18/2016,7.8,,
1/19/2016,8.8,4.9,
1/20/2016,11.2,6,
1/21/2016,10.4,5.9,
1/22/2016,11.4,,
1/23/2016,10.3,9.9,
1/24/2016,11.7,10.3,
1/25/2016,8.4,16.5,
1/26/2016,4.6,18.2,
1/27/2016,2,17.4,
1/28/2016,-0.4,18.4,
1/29/2016,0.1,13,
1/30/2016,3.3,4.9,
1/31/2016,5.3,7.1,1025.3
2/1/2016,6.1,,1022.1
2/2/2016,7.1,5.3,1019.1
2/3/2016,6.7,11.7,
2/4/2016,7.1,8.2,
2/5/2016,9,4.8,1025.4
2/6/2016,10.9,5.7,1016.9
2/7/2016,13.1,10.6,
2/8/2016,2.6,19,
2/9/2016,-0.9,18.6,
2/10/2016,1.3,10.6,
2/11/2016,1.9,9,
2/12/2016,4.2,7.6,
2/13/2016,6.5,5.7,
2/14/2016,7.8,4.8,
2/15/2016,9.3,,
2/16/2016,11.2,7.7,
2/17/2016,10.6,11.1,
2/18/2016,10.1,,
2/19/2016,11.6,13.1,
2/20/2016,12.7,,
2/21/2016,15,14.6,1018.5
2/22/2016,17.5,,
2/23/2016,18.9,16.9,1018
2/24/2016,13.4,18.9,1014.7
2/25/2016,11.5,25.4,
2/26/2016,13.9,8,1021
2/27/2016,16.8,9.6,1022.8
2/28/2016,15.9,10.3,
2/29/2016,12.2,17.9,
3/1/2016,12.4,14.1,
3/2/2016,12.2,8.4,
3/3/2016,13.3,6.1,1020
3/4/2016,15.7,8.7,1016.5
3/5/2016,18.7,11.5,1014.6
3/6/2016,18.2,10,
3/7/2016,13.8,29.8,1013.4
3/8/2016,12.9,12.7,
3/9/2016,15,6.6,
3/10/2016,16.7,6.8,
3/11/2016,16.4,13.2,
3/12/2016,15.3,28.9,
3/13/2016,14.1,,
3/14/2016,13.4,,
3/15/2016,12.4,14.1,
3/16/2016,11.8,19.5,
3/17/2016,8.3,21.5,
3/18/2016,8.1,28.6,
3/19/2016,9.3,27.3,
3/20/2016,13.1,18.5,
3/21/2016,15.9,,
3/22/2016,10.4,15.3,
3/23/2016,10.7,,
3/24/2016,14,9.2,
3/25/2016,17.1,8.8,
3/26/2016,13.7,10.2,
3/27/2016,12.2,11.2,
3/28/2016,16.4,15.4,
3/29/2016,15.3,20.6,
3/30/2016,11.7,31.5,
3/31/2016,12.2,11.2,
4/1/2016,5.9,14.4,
4/2/2016,8.8,16.9,1018
4/3/2016,13.1,6.8,
4/4/2016,14.3,24,
4/5/2016,16.1,18.7,1013.1
4/6/2016,17.4,9.5,
4/7/2016,18.7,,1014.3
4/8/2016,17.9,9.5,
4/9/2016,16.6,,1017.2
4/10/2016,17.2,8.6,1017.3
4/11/2016,16.8,15.5,1015.3
4/12/2016,16.5,,1013
4/13/2016,15.3,8.3,1011.5
4/14/2016,16.9,9.8,
4/15/2016,14.6,12.4,1012.8
4/16/2016,15.4,27.1,
4/17/2016,14,31.5,1013.6
4/18/2016,12.7,13.1,1017.3
4/19/2016,13.8,13.5,
4/20/2016,16.2,8.3,
4/21/2016,19.8,,
4/22/2016,21.1,14,
4/23/2016,19.9,15.5,1017.3
4/24/2016,22.7,10.1,1014.1
4/25/2016,23.3,15.2,
4/26/2016,24.8,12,
4/27/2016,26.3,13.6,
4/28/2016,26.6,12.2,1015.2
4/29/2016,25.5,16,1013.3
4/30/2016,22.3,25.6,1012.2
5/1/2016,23.1,22.7,
5/2/2016,21.9,21.9,
5/3/2016,21.6,15.5,1014.6
5/4/2016,24.3,10.1,1012.3
5/5/2016,25.1,20.9,
5/6/2016,21.1,15.9,1016.5
5/7/2016,23.6,14,1014.6
5/8/2016,22.7,11.4,
5/9/2016,21.5,22,1015.3
5/10/2016,21.2,16.8,1014.8
5/11/2016,18.5,15.7,
5/12/2016,19.2,10,
5/13/2016,22.1,19,1012.5
5/14/2016,24.9,13.5,
5/15/2016,26.9,13.2,
5/16/2016,29.1,,1013.5
5/17/2016,28.4,27.9,1014
5/18/2016,28.2,15.8,
5/19/2016,27.4,14.1,1013.1
5/20/2016,26.2,13.2,1010.5
5/21/2016,22.1,17.1,1012.8
5/22/2016,23.9,9.8,1015.3
5/23/2016,25.9,10.2,
5/24/2016,27.6,14.3,1010.8
5/25/2016,25.7,25.1,1006.9
5/26/2016,25.3,12.1,
5/27/2016,27.3,8.5,
5/28/2016,29.6,12.9,1013.8
5/29/2016,30.6,9.4,1011.8
5/30/2016,28.2,19.9,1010
5/31/2016,25.8,,
6/1/2016,24.1,26.5,
6/2/2016,23.1,21.1,
6/3/2016,25.2,13.8,1010.8
6/4/2016,28.4,,1012.7
6/5/2016,29.9,21.6,1013.9
6/6/2016,30.6,14.7,1014.1
6/7/2016,31.4,13,1011.3
6/8/2016,29.2,26.3,1010.4
6/9/2016,28.8,21.9,1012.5
6/10/2016,30.1,13.2,1013.5
6/11/2016,31.9,15.8,1010.1
6/12/2016,26.2,24.9,1008.8
6/13/2016,23.1,21.8,1011.1
6/14/2016,25.1,8.9,1014.8
6/15/2016,27.1,9.8,1013.5
6/16/2016,30.1,,
6/17/2016,28.5,16.8,1009.2
6/18/2016,27.9,15.2,
6/19/2016,28.8,14.2,
6/20/2016,29.5,16.1,1015.3
6/21/2016,29.2,16.1,1016.4
6/22/2016,29.3,14,1018.2
6/23/2016,28.4,,1017.4
6/24/2016,28.8,11.5,1014.3
6/25/2016,29.9,9.2,1013.9
6/26/2016,29.4,10.9,1014.7
6/27/2016,28.9,10.3,1013.2
6/28/2016,31,10,1011.3
6/29/2016,34,9.6,1010.8
6/30/2016,34.4,,1011.3
7/1/2016,35.2,9.2,
7/2/2016,33,11,1005.4
7/3/2016,29.3,16,1004.1
7/4/2016,28.1,16.2,1005.4
7/5/2016,29.3,10.5,1007.5
7/6/2016,30.7,10,1007.9
7/7/2016,29.6,14.4,1009
7/8/2016,31.2,9.2,1009.9
7/9/2016,31.1,12.7,1010.8
7/10/2016,31.6,16.4,1010.3
7/11/2016,32.8,16.2,1007.2
7/12/2016,28.6,15.7,1009.8
7/13/2016,27.2,15.9,
7/14/2016,29.8,12.3,1014.8
7/15/2016,31.3,12.3,1014.3
7/16/2016,33.2,8.5,1011.4
7/17/2016,32.2,9.9,1013
7/18/2016,31.5,10.8,1012.7
7/19/2016,33.8,8.8,1008.9
7/20/2016,35.1,17.1,
7/21/2016,35.1,10.9,1013
7/22/2016,35.2,8.7,1012.5
7/23/2016,34.9,15,1009
7/24/2016,33.6,15.9,1007.5
7/25/2016,34.1,12.7,1007
7/26/2016,30.7,15.9,1008.3
7/27/2016,29.7,14.2,1009.6
7/28/2016,30.3,10,1010.3
7/29/2016,28.8,16.7,1010.1
7/30/2016,29.5,11.1,1011.9
7/31/2016,31.3,10.8,1012.9
8/1/2016,31.4,9.8,
8/2/2016,31.1,7.8,1012.8
8/3/2016,30.1,11.5,
8/4/2016,30.3,10.3,1012.7
8/5/2016,30.8,,
8/6/2016,30,10.5,1015.3
8/7/2016,30.5,,
8/8/2016,31.2,8.8,
8/9/2016,31.4,9.1,1013.2
8/10/2016,30.3,9.8,1014.5
8/11/2016,30.9,,
8/12/2016,32.8,9.9,1014.2
8/13/2016,33,10.5,
8/14/2016,31.4,10.2,
8/15/2016,29.9,,
8/16/2016,28.2,8.2,1016.1
8/17/2016,28.3,,
8/18/2016,28.6,7.7,1012.7
8/19/2016,28.9,9.4,1015
8/20/2016,28.2,9.4,1016.8
8/21/2016,27.9,,1017.7
8/22/2016,27.9,10,1018.2
8/23/2016,28.2,10.1,
8/24/2016,28.3,10.2,
8/25/2016,28,,
8/26/2016,29.2,8.7,1017.3
8/27/2016,31.1,11.6,1018
8/28/2016,30.4,10.3,1018.5
8/29/2016,31.1,8.5,1017.1
8/30/2016,32,9.2,1015.8
8/31/2016,30.4,10,1014.5
9/1/2016,31.8,8.6,
9/2/2016,29.5,12.8,
9/3/2016,29,8.6,1013.7
9/4/2016,30.2,10.1,1015.5
9/5/2016,31,13.4,1014.4
9/6/2016,28.9,,1013.6
9/7/2016,25.9,14.9,1011.2
9/8/2016,24.3,15.6,
9/9/2016,26.2,10.3,
9/10/2016,28.4,11.7,1014.9
9/11/2016,27.2,9.1,1016
9/12/2016,27.3,9.1,1014
9/13/2016,25.4,12,1016.5
9/14/2016,27.8,8,
9/15/2016,29.7,19.6,1012.6
9/16/2016,28.6,21.3,1013.5
9/17/2016,28.8,9.7,1013
9/18/2016,25.8,23.9,1012.4
9/19/2016,25.1,7.3,1013.5
9/20/2016,26.4,7.6,1014
9/21/2016,27.6,10,
9/22/2016,27.5,,1015.6
9/23/2016,27.9,9.8,1013.6
9/24/2016,27.4,11,1010.3
9/25/2016,23.7,12.1,1012.7
9/26/2016,25,10.4,1015
9/27/2016,25.7,11,1016.9
9/28/2016,26.4,11.9,
9/29/2016,20.7,28.2,1012
9/30/2016,19.2,8.2,1014
10/1/2016,17.8,15,
10/2/2016,16.3,9.1,1025.5
10/3/2016,19.4,7.1,1021.3
10/4/2016,20.8,6.3,1017.7
10/5/2016,22.2,6.2,1017.1
10/6/2016,22.8,7.2,1018.1
10/7/2016,22.6,7,1020.1
10/8/2016,23.6,7.4,1019.7
10/9/2016,24.1,9.4,1017.9
10/10/2016,23.2,,1017.1
10/11/2016,22.2,,1017
10/12/2016,21.9,8.3,1016.2
10/13/2016,21.7,7.2,1017.1
10/14/2016,20.9,7.6,1017.8
10/15/2016,21.6,15,1015.8
10/16/2016,19.2,15.5,1017.8
10/17/2016,19.3,10.9,1018.2
10/18/2016,16.3,12.9,1020.8
10/19/2016,16.8,,1021
10/20/2016,18.1,6.6,1019.6
10/21/2016,16.7,10.2,1019.8
10/22/2016,15.3,6.5,1022.8
10/23/2016,15.9,5.6,1021.8
10/24/2016,15.9,6.8,1021.3
10/25/2016,15.4,10.7,1023.3
10/26/2016,16.5,11.4,1023.1
10/27/2016,18.1,5.4,1025.6
10/28/2016,19.2,6.3,1026.2
10/29/2016,19.7,7.5,
10/30/2016,19.7,6.3,
10/31/2016,19.9,17.9,1017
11/1/2016,21.4,10.6,1015.4
11/2/2016,17.5,16.6,1012
11/3/2016,10.5,18.4,
11/4/2016,11.6,4.3,1025.2
11/5/2016,14.7,,1021
11/6/2016,14.5,9.9,1021
11/7/2016,12.2,10.6,1022.8
11/8/2016,12,,
11/9/2016,12.7,7.3,1024.7
11/10/2016,13.3,3.3,1024.1
11/11/2016,14,,1023
11/12/2016,14.7,,1023.8
11/13/2016,14.2,,1025
11/14/2016,16.2,6.9,
11/15/2016,15.8,5.4,1020.2
11/16/2016,15.7,3.7,1017.5
11/17/2016,16.7,4.3,1018.1
11/18/2016,15.4,6.2,1019.8
11/19/2016,9.1,15.7,1022.3
11/20/2016,4.8,10,1027.7
11/21/2016,3.7,13,
11/22/2016,-0.1,14.4,
11/23/2016,-1.2,,
11/24/2016,-4.2,9.9,1029.5
11/25/2016,-2.5,6.4,
11/26/2016,-0.7,5.9,
11/27/2016,2.2,7.3,
11/28/2016,5,5.1,1023
11/29/2016,7.1,4.3,1021.5
11/30/2016,7.3,,1021.2
12/1/2016,7.5,4.5,
12/2/2016,8.9,6.3,1016.3
12/3/2016,11.8,12.6,1021
12/4/2016,11.6,7.8,1025
12/5/2016,11.8,6.5,1021.3
12/6/2016,9,12.1,
12/7/2016,7,8.9,
12/8/2016,6.4,11.8,
12/9/2016,2.6,18.2,
12/10/2016,4,7.7,
12/11/2016,6.4,15.2,1011.8
12/12/2016,5.9,9.5,1018.5
12/13/2016,6.7,5.1,1016
12/14/2016,8.1,6.2,1013.7
12/15/2016,6.9,13.5,1011.6
12/16/2016,5.2,16.8,1017.6
12/17/2016,5.9,14.1,1019.7
12/18/2016,2.8,19.8,
12/19/2016,3.4,8.7,
12/20/2016,2.8,7.7,1019.8
12/21/2016,3.7,4.8,
12/22/2016,4.2,7,1026.2
12/23/2016,4.8,5.4,
12/24/2016,4.2,5.6,1027
12/25/2016,4.1,7.1,1020
12/26/2016,6.1,5.6,1020
12/27/2016,5.7,,
12/28/2016,6.2,12,1018.2
12/29/2016,5.2,,1025.2
12/30/2016,7.9,6.4,1024
12/31/2016,8.8,3.3,1022.3
1/1/2017,10.9,,
1/2/2017,9.4,15,1016.7
1/3/2017,6.2,19.9,1016.8
1/4/2017,5.9,16.1,1016.7
1/5/2017,4.1,,
1/6/2017,5,,
1/7/2017,4.9,4.9,1019.6
1/8/2017,5.1,6.9,
1/9/2017,6.6,5.9,1017.8
1/10/2017,7.9,6.7,1020
1/11/2017,8.3,5.4,1021.8
1/12/2017,6.4,8.9,1018.4
1/13/2017,4.4,4.6,1010.6
1/14/2017,3.6,12.4,
1/15/2017,3.2,6.3,
1/16/2017,4.7,9.1,1018.7
1/17/2017,5.7,5.1,1021.3
1/18/2017,6.3,,1021.4
1/19/2017,6.3,6,1020.3
1/20/2017,6.9,8.1,1019.2
1/21/2017,6,7.3,1017.3
1/22/2017,5.6,9.6,1016.9
1/23/2017,3.2,11.4,
1/24/2017,2.1,7.3,
1/25/2017,4.5,7.7,
1/26/2017,7.6,7.4,
1/27/2017,3.6,6.8,
1/28/2017,4.6,10.4,1010.8
1/29/2017,2.6,24.8,
1/30/2017,2.3,16.2,
1/31/2017,4.2,8.4,
2/1/2017,4.8,8.5,
2/2/2017,-0.4,17.4,
2/3/2017,-0.3,13.6,
2/4/2017,1.2,9.4,
2/5/2017,2.8,6.5,
2/6/2017,5.3,12.7,
2/7/2017,5.5,11.4,1020.5
2/8/2017,6.8,7.2,1023
2/9/2017,6.4,5.9,1019.8
2/10/2017,5.6,13.5,1016.3
2/11/2017,4.2,10.8,1018.1
2/12/2017,5,7.1,1019
2/13/2017,3,11.1,1014.5
2/14/2017,5.7,8.9,
2/15/2017,9,10.3,1015.3
2/16/2017,9.3,13,1009.7
2/17/2017,3.4,18.5,
2/18/2017,-0.2,18.3,
2/19/2017,1.3,7.4,
2/20/2017,3.7,6.7,
2/21/2017,4.9,7.7,
2/22/2017,6.5,14.8,1015.8
2/23/2017,6.4,11.7,1017.1
2/24/2017,8.3,14.9,1019.9
2/25/2017,10.2,8.8,1023.7
2/26/2017,11.3,11.6,1018.7
2/27/2017,10,8.9,1019.8
2/28/2017,11.7,10.3,1020.5
3/1/2017,11.3,10.1,
3/2/2017,12.2,6.6,1019.2
3/3/2017,11.1,10,1016.4
3/4/2017,11.7,10.1,1013.9
3/5/2017,9.6,22,1016.1
3/6/2017,4.3,7.7,1020.9
3/7/2017,7.4,7.8,1018
3/8/2017,8.3,8.7,
3/9/2017,9.9,7.6,1020.5
3/10/2017,11.1,9.1,1021.3
3/11/2017,11.1,12.7,
3/12/2017,12.3,20.8,1017
3/13/2017,11.3,10.7,
3/14/2017,10.8,22.8,1011.4
3/15/2017,12.4,11.2,
3/16/2017,13.4,,
3/17/2017,13.3,12.5,1013.5
3/18/2017,13.9,15.1,1016.5
3/19/2017,15.7,11.7,
3/20/2017,12.7,13.6,1005.7
3/21/2017,11,20.8,1010.2
3/22/2017,11.2,,
3/23/2017,9.2,11.6,1015
3/24/2017,6.5,14.2,1014.5
3/25/2017,4.9,8.9,1016.6
3/26/2017,9.9,8.8,1017.5
3/27/2017,13.4,6,
3/28/2017,15.9,12.8,
3/29/2017,15.6,21.8,
3/30/2017,15.6,8.1,
3/31/2017,17.3,7.7,1018.2
4/1/2017,16,11.3,
4/2/2017,12.3,11.5,1016
4/3/2017,5.9,13.3,
4/4/2017,7.8,13.9,
4/5/2017,11.3,8.8,
4/6/2017,14,8.2,
4/7/2017,15.5,8.9,1016.3
4/8/2017,18.9,8.5,1015.3
4/9/2017,18.8,16.7,1016.9
4/10/2017,17.7,10.1,1017.4
4/11/2017,19.7,11.8,1017.9
4/12/2017,17.2,,1019.9
4/13/2017,20.8,6.6,1021.3
4/14/2017,23.6,6.1,1016.9
4/15/2017,21.2,17.9,1014.9
4/16/2017,18.3,17.3,1015.3
4/17/2017,19.5,14.2,1016.5
4/18/2017,22.1,13.7,
4/19/2017,19.1,16.8,1014.5
4/20/2017,18.9,13,1016.8
4/21/2017,19.8,12.7,1017.1
4/22/2017,22.2,6.5,1018.2
4/23/2017,24.8,13.4,1018.6
4/24/2017,22.8,12.3,1014.2
4/25/2017,19.3,10.3,1015.4
4/26/2017,14.6,20.8,1019.3
4/27/2017,15.5,11.6,1023.8
4/28/2017,19.4,14.9,1023.3
4/29/2017,18.1,12.4,1022.1
4/30/2017,20.4,13.6,1020
5/1/2017,22.7,11.3,1019
5/2/2017,23.3,,
5/3/2017,20.1,12.4,1017
5/4/2017,19.2,,1016.3
5/5/2017,18.2,9.5,1016.7
5/6/2017,17.9,8.8,1017.5
5/7/2017,21.9,11.7,1016.8
5/8/2017,22,7.8,1016.9
5/9/2017,24.9,15.3,1016.1
5/10/2017,25.7,12,1016
5/11/2017,28.1,8,1014.8
5/12/2017,27.1,15.6,1014.9
5/13/2017,26.1,10.1,1014
5/14/2017,26.5,11.5,1012.5
5/15/2017,26.4,10.6,1011.9
5/16/2017,27.2,10.3,1009.6
5/17/2017,24.3,22.2,1010.3
5/18/2017,24.3,11.8,1015.3
5/19/2017,27.9,7.7,1015.6
5/20/2017,29.6,13.2,1013.2
5/21/2017,27.3,18.8,1008.4
5/22/2017,24.1,23.1,1010.9
5/23/2017,26.4,9,1014.2
5/24/2017,28.2,13.2,1013
5/25/2017,26.9,17.1,1014.7
5/26/2017,27.9,12,1014.6
5/27/2017,29.7,11.5,1013
5/28/2017,29.6,15.5,1012.8
5/29/2017,27.3,26.8,1015.3
5/30/2017,27.7,8.3,1018.2
5/31/2017,29.4,9.1,1013.9
6/1/2017,28.4,18.1,1009
6/2/2017,25.6,18.8,1007.6
6/3/2017,23.4,21.4,1012
6/4/2017,25.5,12.1,1016.8
6/5/2017,28.2,9.2,1017.9
6/6/2017,28.3,10.7,1019.5
6/7/2017,30,11.4,1016
6/8/2017,30.8,,
6/9/2017,29.6,15.5,1010.4
6/10/2017,30.2,12.1,1010.4
6/11/2017,31.3,,
6/12/2017,31,16.5,1008.3
6/13/2017,29.7,18.4,1009.7
6/14/2017,29.4,11.8,1011.8
6/15/2017,33.1,16.3,1010.8
6/16/2017,31.4,16.7,1010.7
6/17/2017,29.9,23.2,1010.3
6/18/2017,29.8,10.1,1010.5
6/19/2017,31.7,10.2,1008.9
6/20/2017,32.9,8.1,1007.3
6/21/2017,32.4,18.6,1005
6/22/2017,30.4,19.6,1006.7
6/23/2017,26.5,24.3,1009.5
6/24/2017,27.8,11.4,1011.8
6/25/2017,29.9,8.8,1010.8
6/26/2017,29.4,11.5,1014.5
6/27/2017,29.7,10.5,1016.7
6/28/2017,31.8,8.6,1014
6/29/2017,32.9,10.8,1010.5
6/30/2017,30.7,,1006.9
7/1/2017,30,13.9,1010
7/2/2017,30.9,14.2,1013.7
7/3/2017,32.2,9.4,1013.2
7/4/2017,31.9,7.5,1011.9
7/5/2017,33.7,10.2,1011.7
7/6/2017,32.7,10.5,
7/7/2017,34.2,10.6,1009.1
7/8/2017,33.7,10.1,1008.8
7/9/2017,33.7,10.6,1011.5
7/10/2017,35.2,12.4,1013
7/11/2017,31.8,12.3,1011.5
7/12/2017,27.5,16.6,1009.8
7/13/2017,23.9,13.9,
7/14/2017,27.1,8.7,1012
7/15/2017,30.1,9.7,1012.3
7/16/2017,31.6,9.9,1013.3
7/17/2017,30.8,10,1016.1
7/18/2017,30.3,10.6,1016
7/19/2017,30.6,11.5,1013.7
7/20/2017,31.1,7.5,1010.9
7/21/2017,32.2,9.7,1011.7
7/22/2017,31.9,,1013.8
7/23/2017,30.1,10,1012.5
7/24/2017,31.6,10.1,1010.4
7/25/2017,32.7,10.9,1009.2
7/26/2017,33.3,10.6,1008.3
7/27/2017,33.3,8.1,1010.4
7/28/2017,33.3,10,1013
7/29/2017,34.9,11.4,1011.9
7/30/2017,32.9,8.5,1012.3
7/31/2017,31.5,11.2,1014.9
8/1/2017,30.2,11.5,1017
8/2/2017,29.3,11.2,1018.6
8/3/2017,30,,1016.3
8/4/2017,30.7,9.1,1013.7
8/5/2017,31.3,,
8/6/2017,32.2,9.4,1013.5
8/7/2017,31,8.9,1015.4
8/8/2017,31.7,,1016.2
8/9/2017,31.9,10.1,1014.9
8/10/2017,29.9,12.6,1014
8/11/2017,29.1,12.7,1016.2
8/12/2017,29.4,10.9,1014.5
8/13/2017,30.7,8.6,1012.1
8/14/2017,32.2,10.3,1011.8
8/15/2017,31.6,,1011.1
8/16/2017,30.2,,1012.1
8/17/2017,30.9,15.3,1014
8/18/2017,31.7,13.8,1013.5
8/19/2017,30.9,10,1015
8/20/2017,30.1,10.8,1017.2
8/21/2017,29.8,,1014.7
8/22/2017,30.3,8.5,1013.4
8/23/2017,31.1,9.6,1013.8
8/24/2017,31.9,9.4,1014.7
8/25/2017,29.5,10.9,1016.6
8/26/2017,27.3,11.2,1016.6
8/27/2017,26.9,8.9,1016.3
8/28/2017,27.2,8.2,1016.5
8/29/2017,28.5,9.4,1014.4
8/30/2017,30,10.8,
8/31/2017,30.6,10,1014.9
9/1/2017,29.5,9.1,1014.7
9/2/2017,28.9,8.9,1014.8
9/3/2017,29.8,9.2,1014.2
9/4/2017,29.2,11.2,1015.8
9/5/2017,30,9.9,1017.5
9/6/2017,30.6,7.9,1015
9/7/2017,31.5,11.1,1012.9
9/8/2017,29.7,10.3,1015.5
9/9/2017,28.3,10,1017.7
9/10/2017,29.4,9.3,1017
9/11/2017,30.7,9.8,1017.4
9/12/2017,28.8,8,1018.6
9/13/2017,28.4,8.6,1018.2
9/14/2017,27.9,7,1017.4
9/15/2017,27.2,8.5,980.3
9/16/2017,26.3,7.6,1018.4
9/17/2017,25.1,8.8,1019.1
9/18/2017,24.5,,1020.1
9/19/2017,24.6,8.6,1020.2
9/20/2017,25.2,9.1,1018.8
9/21/2017,25.1,8.6,1017.4
9/22/2017,25.2,9.1,1016.3
9/23/2017,26.2,,1017.7
9/24/2017,26.3,9.2,1019.9
9/25/2017,26.1,10.2,1018.9
9/26/2017,24.3,,1018.4
9/27/2017,25.5,7.7,1018.5
9/28/2017,22.5,19.3,1015.8
9/29/2017,19.9,9.5,1019.1
9/30/2017,21.6,7.2,1021.5
10/1/2017,24.4,7.3,1018.6
10/2/2017,24.3,16.1,1014.5
10/3/2017,19.6,25.6,1014.1
10/4/2017,15.4,11.4,1017.1
10/5/2017,11.8,14.4,1017.4
10/6/2017,15.7,5.7,1019.5
10/7/2017,18.9,7.3,1020.8
10/8/2017,20.9,6.3,1018.5
10/9/2017,22.5,5.9,1015.7
10/10/2017,22.8,9.4,1016.9
10/11/2017,23.9,8.5,1016.3
10/12/2017,21.9,9.4,1016.1
10/13/2017,19.2,16.6,1016.1
10/14/2017,18.3,,1016.7
10/15/2017,20.4,12.6,1015.6
10/16/2017,20.5,8.5,1013.1
10/17/2017,16.1,31.2,1014.1
10/18/2017,13.8,5.9,1023.9
10/19/2017,14.9,6.8,1025.8
10/20/2017,16.7,6.3,1019.5
10/21/2017,17.1,5.1,1017.4
10/22/2017,17.4,5.5,1015.1
10/23/2017,17.8,8.6,1017.1
10/24/2017,18.6,6,1022
10/25/2017,20.2,6.1,1023.8
10/26/2017,20.9,4.8,1022.9
10/27/2017,22.7,8,1019.5
10/28/2017,22.9,3.9,1020
10/29/2017,22.8,,1017.7
10/30/2017,22.4,3.9,1016
10/31/2017,21.1,7.1,1015
11/1/2017,19.3,10,1015.8
11/2/2017,18.7,15.5,1018
11/3/2017,18.5,7.4,1019.5
11/4/2017,18.2,11.2,1019.8
11/5/2017,18.4,9.7,1022.5
11/6/2017,18.5,6.7,1024.6
11/7/2017,19.2,6.2,1024.9
11/8/2017,19.1,4.6,1023.8
11/9/2017,18.6,8.2,1019.8
11/10/2017,18.2,8.2,1018
11/11/2017,16.1,6.8,1017.8
11/12/2017,13.9,,
11/13/2017,13.4,7.1,1019.9
11/14/2017,13,6.3,1021.2
11/15/2017,12.6,6.2,
11/16/2017,12.1,6,1022.8
11/17/2017,11.8,7.1,1024
